,ID,Churn,Sexo,Sênior,Parceiro,Dependentes,MesesDeContrato,Telefone,VáriasLinhas,SegurançaOnline,ServiçoInternet,BackupOnline,ProteçãoDispositivo,SuporteTécnico,StreamingTV,StreamingFilmes,Contato,FaturamentoSemPapel,GastoDiario,FormaDePagamento,EncargosMensal,EncargosTotal
0,0002-ORFBO,No,Feminino,0,Yes,Yes,9,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Um Ano,Yes,2.19,Cheque enviado,65.6,593.3
1,0003-MKNFE,No,Masculino,0,No,No,9,Yes,Yes,DSL,No,No,No,No,No,Yes,Mês a mês,No,2.0,Cheque enviado,59.9,542.4
2,0004-TLHLJ,Yes,Masculino,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,Mês a mês,Yes,2.46,Cheque eletrônico,73.9,280.85
3,0011-IGKFF,Yes,Masculino,1,Yes,No,13,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Mês a mês,Yes,3.27,Cheque eletrônico,98.0,1237.85
4,0013-EXCHZ,Yes,Feminino,1,Yes,No,3,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Mês a mês,Yes,2.8,Cheque enviado,83.9,267.4
5,0013-MHZWF,No,Feminino,0,No,Yes,9,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Mês a mês,Yes,2.31,Credit card (automatic),69.4,571.45
6,0013-SMEOE,No,Feminino,1,Yes,No,71,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Dois Anos,Yes,3.66,Bank transfer (automatic),109.7,7904.25
7,0014-BMAQU,No,Masculino,0,Yes,No,63,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Dois Anos,Yes,2.82,Credit card (automatic),84.65,5377.8
8,0015-UOCOJ,No,Feminino,1,No,No,7,Yes,No,DSL,Yes,No,No,No,No,No,Mês a mês,Yes,1.61,Cheque eletrônico,48.2,340.35
9,0016-QLJIS,No,Feminino,0,Yes,Yes,65,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Dois Anos,Yes,3.02,Cheque enviado,90.45,5957.9
10,0017-DINOC,No,Masculino,0,No,No,54,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Dois Anos,No,1.51,Credit card (automatic),45.2,2460.55
11,0017-IUDMW,No,Feminino,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Dois Anos,Yes,3.89,Credit card (automatic),116.8,8456.75
12,0018-NYROU,No,Feminino,0,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Mês a mês,Yes,2.3,Cheque eletrônico,68.95,351.5
13,0019-EFAEP,No,Feminino,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Dois Anos,Yes,3.38,Bank transfer (automatic),101.3,7261.25
14,0019-GFNTW,No,Feminino,0,No,No,56,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Dois Anos,No,1.5,Bank transfer (automatic),45.05,2560.1
